feature,mi_score,f_score,f_pvalue,missing_ratio,rank_mi,rank_f,rank_uni_avg,rf_importance,perm_importance_mean,perm_importance_std,rank_rf,rank_perm,rank_model_avg,rank_uni_filled,rank_model_filled,final_rank_score,final_rank
wound_b_mean_first,0.0,0.6369238584902007,0.5333278339386557,0.0196078431372549,47.0,51.0,49.0,0.020442298925190946,0.0,0.0,27.0,26.0,26.5,49.0,26.5,37.75,43
suture_minus_wound_L_mean_first,0.0,1.7356615132917925,0.18716375059377097,0.0784313725490196,47.0,23.0,35.0,0.020323306892789546,-0.0019607843137254832,0.0058823529411764506,28.0,53.0,40.5,35.0,40.5,37.75,44
fibrin_present_first,0.011092066759132546,1.0,0.375413246727102,0.0,30.0,40.5,35.25,0.0,0.0,0.0,55.5,26.0,40.75,35.25,40.75,38.0,45
metal_device_present_first,0.017881293487806094,0.5957446808510637,0.5551756037188142,0.0,28.0,52.0,40.0,0.0014448845361443555,0.0,0.0,47.0,26.0,36.5,40.0,36.5,38.25,46
suture_to_wound_area_ratio_first,0.0,0.1390435058651099,0.870539380433765,0.0196078431372549,47.0,56.0,51.5,0.022128737804201652,0.0,0.0,24.0,26.0,25.0,51.5,25.0,38.25,47
suture_zone_present_first,0.0,1.0666666666666624,0.35216949952095816,0.0,47.0,33.0,40.0,0.0007905791900255644,0.0,0.0,48.0,26.0,37.0,40.0,37.0,38.5,48
suture_to_wound_perimeter_ratio_first,0.0,0.10381118900259835,0.9015972932368949,0.0784313725490196,47.0,58.0,52.5,0.022243658598765478,0.0,0.0,23.0,26.0,24.5,52.5,24.5,38.5,49
suture_zone_circularity_first,0.0,0.4706323259699527,0.627458777532302,0.0784313725490196,47.0,54.0,50.5,0.01801890033674439,0.0,0.0,30.0,26.0,28.0,50.5,28.0,39.25,50
inflammation_related_proxy_flag_first,0.0,0.9600000000000003,0.39012147434412203,0.0,47.0,45.0,46.0,0.002382438250328235,0.0,0.0,44.0,26.0,35.0,46.0,35.0,40.5,51
device_related_area_pct_wound_first,0.0,0.12485795226843634,0.882907983370707,0.0196078431372549,47.0,57.0,52.0,0.008453992963595834,0.0,0.0,33.0,26.0,29.5,52.0,29.5,40.75,52
fibrin_area_pct_wound_first,0.0,1.0000000000000002,0.375413246727102,0.0196078431372549,47.0,37.0,42.0,0.0,0.0,0.0,55.5,26.0,40.75,42.0,40.75,41.375,53
purulent_discharge_present_first,0.0,1.0,0.375413246727102,0.0,47.0,40.5,43.75,0.0,0.0,0.0,55.5,26.0,40.75,43.75,40.75,42.25,54
wound_depths_area_pct_wound_first,0.0,1.0,0.375413246727102,0.0196078431372549,47.0,40.5,43.75,0.0,0.0,0.0,55.5,26.0,40.75,43.75,40.75,42.25,55
wound_depths_present_first,0.0,1.0,0.375413246727102,0.0,47.0,40.5,43.75,0.0,0.0,0.0,55.5,26.0,40.75,43.75,40.75,42.25,56
wound_present_first,0.0,1.0,0.375413246727102,0.0,47.0,40.5,43.75,0.0,0.0,0.0,55.5,26.0,40.75,43.75,40.75,42.25,57
edema_zone_present_first,0.0,0.5,0.6096544895463182,0.0,47.0,53.0,50.0,0.0003279964804163912,0.0,0.0,49.0,26.0,37.5,50.0,37.5,43.75,58
suture_zone_glcm_contrast_first,0.0,0.7563926116772074,0.4748682395902897,0.0784313725490196,47.0,50.0,48.5,0.02205708258635861,-0.00588235294117645,0.008985442539129066,25.0,55.0,40.0,48.5,40.0,44.25,59
