threshold,postprocess_mode,val_dice,val_iou,val_precision,val_recall
0.7,largest_cc,0.7185186218559573,0.5911582910763187,0.7094012838016025,0.7935098367006751
0.78,largest_cc,0.7182216579391807,0.5903517011168629,0.7223009414392527,0.7796107499667099
0.78,largest_cc_fill_holes,0.7182054592046255,0.590270601855857,0.7219729269250248,0.7797472464497418
0.68,largest_cc_fill_holes,0.718184967415021,0.5908552184526132,0.7065139331632175,0.7961401192556696
0.68,largest_cc,0.7181275897636373,0.5907909853321066,0.7066594913584674,0.7959548074558657
0.8,largest_cc,0.7179627348704106,0.5899446374815018,0.7255059041231442,0.775591788030068
0.8,largest_cc_fill_holes,0.7179507771529429,0.5898627947072896,0.7251154706540008,0.775755284636439
0.82,largest_cc,0.7179314237256885,0.5897989819427375,0.7293312006085338,0.7715238709626073
0.82,largest_cc_fill_holes,0.7179249786488132,0.589716967548672,0.7288640721022797,0.7717217746561297
0.66,largest_cc_fill_holes,0.7179158117168464,0.5906386601505816,0.7040240992792814,0.7985400549402732
0.66,largest_cc,0.7178567658075448,0.5905720137026411,0.7041488284225178,0.7983683826852391
0.84,largest_cc,0.717734015753251,0.5895010343030208,0.7334442012929088,0.7669048973716186
0.84,largest_cc_fill_holes,0.71772387041556,0.5894109648405966,0.7328552871948774,0.7671423889057507
0.86,largest_cc_fill_holes,0.7172443660558527,0.5886194016599652,0.7373354343919268,0.761609546784058
0.86,largest_cc,0.7172398407796424,0.5886990197089709,0.7380526110371648,0.7613075275095935
0.88,largest_cc,0.7165456840391651,0.5877540933188766,0.7433418733378772,0.7548075432724951
0.88,largest_cc_fill_holes,0.7165374916350079,0.5876660691841563,0.742790503684353,0.7551252905732825
0.64,largest_cc_fill_holes,0.7159288043062264,0.5886501009526924,0.699444641766056,0.7995817115910073
0.64,largest_cc,0.7158584577380651,0.5885683581801222,0.6995404326526056,0.7994022617817865
0.62,largest_cc_fill_holes,0.7155973555422647,0.588381251543332,0.6970242963062575,0.8018763510237396
0.9,largest_cc_fill_holes,0.7155471005049062,0.5862952671428187,0.7493740747328806,0.7472573844507581
0.9,largest_cc,0.7155332987848115,0.5863728353683253,0.7499752942799368,0.7469044050220885
0.62,largest_cc,0.7153396689805374,0.5880144862118692,0.6970503426232619,0.8013778295792799
0.6,largest_cc_fill_holes,0.7151679444889955,0.58795578072191,0.6946846637563432,0.8038324813170385
0.6,largest_cc,0.7149216013112007,0.5876038804102115,0.6946967872490655,0.8033664736085311
0.58,largest_cc_fill_holes,0.714704618452777,0.5874699009884757,0.6924581802413443,0.8056788440494063
0.5,largest_cc_fill_holes,0.7146935310195052,0.5864271250817054,0.6843614708980799,0.8228432545272932
